code,name,status,ok_1d,ok_1m,count_1d,count_1m
688775.SH,影石创新,Success,True,True,168,6528
600761.SH,安徽合力,Success,True,True,513,6528
603082.SH,北自科技,Success,True,True,493,6528
603499.SH,翔港科技,Success,True,True,513,6528
603928.SH,兴业股份,Success,True,True,513,6528
688386.SH,泛亚微透,Success,True,True,513,6528
600715.SH,文投控股,Success,True,True,513,6528
600698.SH,湖南天雁,Success,True,True,513,6528
600283.SH,钱江水利,Success,True,True,513,6529
601018.SH,宁波港,Success,True,True,513,6529
688610.SH,埃科光电,Success,True,True,513,6528
603839.SH,安正时尚,Success,True,True,513,6529
688297.SH,中无人机,Success,True,True,513,6529
600604.SH,市北高新,Success,True,True,513,6529
603193.SH,润本股份,Success,True,True,513,6529
603588.SH,高能环境,Success,True,True,513,6529
601858.SH,中国科传,Success,True,True,513,6529
600369.SH,西南证券,Success,True,True,513,6529
603091.SH,众鑫股份,Success,True,True,339,6529
601186.SH,中国铁建,Success,True,True,513,6529
688395.SH,正弦电气,Success,True,True,513,6529
600706.SH,曲江文旅,Success,True,True,513,6529
603416.SH,信捷电气,Success,True,True,513,6529
600381.SH,*ST春天,Success,True,True,513,6529
688712.SH,C北芯-U,Success,True,True,5,986
688309.SH,恒誉环保,Success,True,True,513,6529
603079.SH,圣达生物,Success,True,True,513,6529
688766.SH,普冉股份,Success,True,True,513,6529
688191.SH,智洋创新,Success,True,True,507,5302
601799.SH,星宇股份,Success,True,True,513,6529
600502.SH,安徽建工,Success,True,True,513,6529
600119.SH,长江投资,Success,True,True,513,6529
600576.SH,祥源文旅,Success,True,True,513,6529
603666.SH,亿嘉和,Success,True,True,513,6529
688179.SH,阿拉丁,Success,True,True,513,6529
688562.SH,航天软件,Success,True,True,513,6529
603209.SH,兴通股份,Success,True,True,513,6529
603612.SH,索通发展,Success,True,True,513,6529
600185.SH,珠免集团,Success,True,True,513,6529
688516.SH,奥特维,Success,True,True,513,6529
600959.SH,江苏有线,Success,True,True,513,6529
601607.SH,上海医药,Success,True,True,513,6529
688488.SH,艾迪药业,Success,True,True,513,6529
688093.SH,世华科技,Success,True,True,513,6529
600400.SH,红豆股份,Success,True,True,513,6529
600234.SH,科新发展,Success,True,True,513,6529
603866.SH,桃李面包,Success,True,True,513,6529
603150.SH,万朗磁塑,Success,True,True,513,6529
688220.SH,翱捷科技-U,Success,True,True,513,6529
601033.SH,永兴股份,Success,True,True,501,6529
603124.SH,江南新材,Success,True,True,222,6529
601999.SH,出版传媒,Success,True,True,513,6529
603052.SH,可川科技,Success,True,True,513,6529
688356.SH,键凯科技,Success,True,True,513,6529
603026.SH,石大胜华,Success,True,True,513,6529
688322.SH,奥比中光-UW,Success,True,True,513,6529
688739.SH,成大生物,Success,True,True,513,6529
600336.SH,澳柯玛,Success,True,True,513,6529
600759.SH,洲际油气,Success,True,True,513,6529
603639.SH,海利尔,Success,True,True,513,6529
603222.SH,济民健康,Success,True,True,513,6529
688126.SH,沪硅产业,Success,True,True,513,6529
603256.SH,宏和科技,Success,True,True,513,6529
605500.SH,森林包装,Success,True,True,513,6529
688549.SH,中巨芯-U,Success,True,True,513,6529
688152.SH,麒麟信安,Success,True,True,513,6529
600132.SH,重庆啤酒,Success,True,True,513,6529
600529.SH,山东药玻,Success,True,True,513,6529
600030.SH,中信证券,Success,True,True,513,6530
603320.SH,迪贝电气,Success,True,True,513,6529
600906.SH,财达证券,Success,True,True,513,6529
601658.SH,邮储银行,Success,True,True,513,6529
688050.SH,爱博医疗,Success,True,True,513,6529
600155.SH,华创云信,Success,True,True,513,6530
600121.SH,郑州煤电,Success,True,True,513,6530
603231.SH,索宝蛋白,Success,True,True,513,6530
600817.SH,宇通重工,Success,True,True,513,6530
605567.SH,春雪食品,Success,True,True,513,6530
688135.SH,利扬芯片,Success,True,True,513,6530
601326.SH,秦港股份,Success,True,True,513,6530
600863.SH,内蒙华电,Success,True,True,513,6530
605108.SH,同庆楼,Success,True,True,513,6530
688141.SH,杰华特,Success,True,True,513,6530
688037.SH,芯源微,Success,True,True,513,6530
603728.SH,鸣志电器,Success,True,True,513,6530
603333.SH,尚纬股份,Success,True,True,513,6530
688458.SH,美芯晟,Success,True,True,513,6530
600961.SH,株冶集团,Success,True,True,513,6530
600057.SH,厦门象屿,Success,True,True,513,6530
600023.SH,浙能电力,Success,True,True,513,6530
600438.SH,通威股份,Success,True,True,513,6530
600989.SH,宝丰能源,Success,True,True,513,6530
688247.SH,宣泰医药,Success,True,True,513,6530
603558.SH,健盛集团,Success,True,True,513,6530
688233.SH,神工股份,Success,True,True,513,6530
601020.SH,华钰矿业,Success,True,True,513,6530
688628.SH,优利德,Success,True,True,513,6530
603137.SH,恒尚节能,Success,True,True,513,6530
603801.SH,志邦家居,Success,True,True,513,6530
600227.SH,赤天化,Success,True,True,513,6530
601916.SH,浙商银行,Success,True,True,513,6530
600648.SH,外高桥,Success,True,True,513,6530
603903.SH,中持股份,Success,True,True,513,6530
600325.SH,华发股份,Success,True,True,513,6530
601860.SH,紫金银行,Success,True,True,513,6530
603977.SH,国泰集团,Success,True,True,513,6530
600351.SH,亚宝药业,Success,True,True,513,6530
603041.SH,美思德,Success,True,True,513,6530
601156.SH,东航物流,Success,True,True,513,6530
688345.SH,博力威,Success,True,True,513,6530
603035.SH,常熟汽饰,Success,True,True,513,6530
601888.SH,中国中免,Success,True,True,513,6530
605378.SH,野马电池,Success,True,True,513,6530
688331.SH,荣昌生物,Success,True,True,513,6530
600099.SH,林海股份,Success,True,True,513,6530
600482.SH,中国动力,Success,True,True,513,6530
688011.SH,新光光电,Success,True,True,513,6530
601619.SH,嘉泽新能,Success,True,True,513,6530
603315.SH,福鞍股份,Success,True,True,513,6530
605058.SH,澳弘电子,Success,True,True,513,6530
600933.SH,爱柯迪,Success,True,True,513,6530
688065.SH,凯赛生物,Success,True,True,513,6530
600071.SH,凤凰光学,Success,True,True,513,6530
688496.SH,清越科技,Success,True,True,513,6530
603389.SH,*ST亚振,Success,True,True,513,6530
600568.SH,ST中珠,Success,True,True,513,6530
600173.SH,卧龙新能,Success,True,True,513,6530
603690.SH,至纯科技,Success,True,True,513,6530
600107.SH,ST尔雅,Success,True,True,513,6530
603217.SH,元利科技,Success,True,True,513,6530
600831.SH,广电网络,Success,True,True,513,6530
600580.SH,卧龙电驱,Success,True,True,513,6530
688113.SH,联测科技,Success,True,True,513,6530
688508.SH,芯朋微,Success,True,True,513,6530
603678.SH,火炬电子,Success,True,True,513,6530
600845.SH,宝信软件,Success,True,True,513,6530
688167.SH,炬光科技,Success,True,True,513,6530
601198.SH,东兴证券,Success,True,True,513,6531
688790.SH,昂瑞微-UW,Success,True,True,40,6531
600303.SH,曙光股份,Success,True,True,513,6531
600718.SH,东软集团,Success,True,True,513,6531
600377.SH,宁沪高速,Success,True,True,513,6531
603067.SH,振华股份,Success,True,True,513,6531
688778.SH,厦钨新能,Success,True,True,513,6531
688363.SH,华熙生物,Success,True,True,513,6531
603408.SH,建霖家居,Success,True,True,513,6531
603013.SH,亚普股份,Success,True,True,513,6531
600784.SH,鲁银投资,Success,True,True,513,6531
688317.SH,之江生物,Success,True,True,513,6531
688261.SH,东微半导,Success,True,True,513,6531
603165.SH,荣晟环保,Success,True,True,513,6531
605228.SH,神通科技,Success,True,True,513,6531
600686.SH,金龙汽车,Success,True,True,513,6531
688215.SH,瑞晟智能,Success,True,True,513,6531
601006.SH,大秦铁路,Success,True,True,513,6531
603111.SH,康尼机电,Success,True,True,513,6531
688289.SH,圣湘生物,Success,True,True,513,6531
688692.SH,达梦数据,Success,True,True,409,6531
600201.SH,生物股份,Success,True,True,513,6531
603596.SH,伯特利,Success,True,True,513,6531
605339.SH,南侨食品,Success,True,True,513,6531
601163.SH,三角轮胎,Success,True,True,513,6531
688370.SH,丛麟科技,Success,True,True,513,6531
603000.SH,人民网,Success,True,True,513,6531
600797.SH,浙大网新,Success,True,True,513,6531
601117.SH,中国化学,Success,True,True,513,6531
688398.SH,赛特新材,Success,True,True,513,6531
688783.SH,西安奕材-U,Success,True,True,75,6531
603936.SH,博敏电子,Success,True,True,513,6531
600310.SH,广西能源,Success,True,True,513,6531
601089.SH,福元医药,Success,True,True,513,6531
688681.SH,科汇股份,Success,True,True,513,6531
600212.SH,绿能慧充,Success,True,True,513,6531
600609.SH,金杯汽车,Success,True,True,513,6531
603585.SH,苏利股份,Success,True,True,513,6531
600266.SH,城建发展,Success,True,True,513,6531
688669.SH,聚石化学,Success,True,True,513,6531
601061.SH,中信金属,Success,True,True,513,6531
688272.SH,富吉瑞,Success,True,True,513,6531
603176.SH,汇通集团,Success,True,True,513,6531
688206.SH,概伦电子,Success,True,True,513,6531
601015.SH,陕西黑猫,Success,True,True,513,6531
603519.SH,立霸股份,Success,True,True,513,6531
603102.SH,百合股份,Success,True,True,513,6531
600479.SH,千金药业,Success,True,True,513,6531
600062.SH,华润双鹤,Success,True,True,513,6531
601696.SH,中银证券,Success,True,True,513,6531
688485.SH,九州一轨,Success,True,True,513,6531
600016.SH,民生银行,Success,True,True,513,6531
600491.SH,龙元建设,Success,True,True,513,6531
688002.SH,睿创微纳,Success,True,True,513,6531
688419.SH,耐科装备,Success,True,True,513,6531
601211.SH,国泰海通,Success,True,True,513,6531
603306.SH,华懋科技,Success,True,True,513,6531
688076.SH,ST诺泰,Success,True,True,513,6531
600822.SH,上海物贸,Success,True,True,513,6531
600188.SH,兖矿能源,Success,True,True,513,6531
600593.SH,大连圣亚,Success,True,True,513,6532
688100.SH,威胜信息,Success,True,True,513,6532
603270.SH,金帝股份,Success,True,True,513,6532
600160.SH,巨化股份,Success,True,True,513,6532
603683.SH,晶华新材,Success,True,True,513,6532
603298.SH,杭叉集团,Success,True,True,513,6532
600114.SH,东睦股份,Success,True,True,513,6532
