2026-02-11 23:56:36 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4工业集团企业 股票列表: 50 只
2026-02-11 23:56:36 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4广告 股票列表: 96 只
2026-02-11 23:56:36 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4广播 股票列表: 13 只
2026-02-11 23:56:36 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4应用软件 股票列表: 217 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4建筑与工程 股票列表: 381 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4建筑产品 股票列表: 46 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4建筑机械与重型运输设备 股票列表: 63 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4建筑材料 股票列表: 83 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4房地产开发 股票列表: 290 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4房地产服务 股票列表: 24 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4房地产经营公司 股票列表: 156 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4技术产品经销商 股票列表: 58 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4投资银行业与经纪业 股票列表: 171 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4抵押房地产投资信托 股票列表: 2 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4摩托车制造商 股票列表: 6 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4教育服务 股票列表: 69 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4数据处理与外包服务 股票列表: 6 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4新能源发电业者 股票列表: 56 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4无线电信业务 股票列表: 11 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4日常消费品零售 股票列表: 21 只
2026-02-11 23:56:37 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4有线和卫星 股票列表: 23 只
2026-02-11 23:56:38 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4服装、服饰与奢侈品 股票列表: 211 只
2026-02-11 23:56:38 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4服装零售 股票列表: 43 只
2026-02-11 23:56:38 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4机场服务 股票列表: 6 只
2026-02-11 23:56:38 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4林业产品 股票列表: 34 只
2026-02-11 23:56:38 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4水公用事业 股票列表: 52 只
2026-02-11 23:56:38 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4汽车制造商 股票列表: 54 只
2026-02-11 23:56:38 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4汽车零件与设备 股票列表: 264 只
2026-02-11 23:56:38 - SentimentArbitrageEA - DEBUG - 获取板块 GICS4汽车零售 股票列表: 33 只
